title,type,a1,a2,a3,a4
Сколько лет длилась Северная война? ,number,21,,,
Какая столица расположена на 0 меридиане?,,Лондон,Алжир,Париж,Ниамей
Первый царь из династии Романовых? ,,Михаил Фёдорович,Алексей Михайлович,Фёдор Алексеевич,Петр I
Сколько законов термодинамики существует? ,number,3,,,
Самая большая кошка на планете – это… ,,Тигр,Лев,Снежный барс,Леопард
Самое крупное млекопитающее на Земле? ,,Синий кит,Слон,Жираф,Белый носорог
Первый танк с торсионной подвеской? ,,Panzerkampfwagen III,БМП-2,T34,Pz. VI Ausf
Зачем змеи высовывают язык? ,,Нюхает воздух,Собирает расу,Охотит добычу,Проверяет влажность 
На какой планете самый короткий день? ,,Юпитер,Уран,Меркурий,Земля
Сколько костей в теле взрослого человека? ,number,206,,,
"Полководец, не проигравший ни одного сражения – это… ",,А. В. Суворов,Г. А. Спиридов,Ф. Ф. Ушаков,Н. И. Салтыков 
Где находится самая быстрая мышца тела?,,В глазу,В пальце,В ухе,Во рту
Самая маленькая страна в мире?,,Ватикан,Кигали,Уругвай,Австралия
Кого называют маршалом Победы? ,,Г. К. Жуков,А. М. Васильевский,К. К. Рокоссовский,И. С. Конев
В какой стране был изобретён лак для ногтей?,,Китай,Франция,Германия,Бразилия
Что изобрели и испытали братья Райт?,,Самолет,Воздушный шар,Велосипед,Паровоз
"В России есть города, которым присвоен статус федерального значения, - это Москва, Санкт-Петербург, Севастополь. Но есть ещё один город, наделённый этим статусом, который Россия арендует до 2050 года. Какой это город? ",,Байконур,Ухань,Семфирополь,Караганда
До Второй Мировой войны лётчиков-дальтоников не брали на службу в ВВС США. Но в 1941 году ситуация изменилась – им стали отдавать предпочтение. Почему? ,,Лучше видят замаскированные объекты,Меньше платить,Использовали как камикадзе,Дальше видят
Какой важный научный прибор учёные эпохи Возрождения и средних веков делали из небольшого количества воды и мёда?,,Лупа,Микроскоп,Телескоп,Очки
"Какой из правителей династии Рюриковичей, по преданию, умер от своего коня? ",,Вещий Олег,Игорь,Иван IV,Ольга
"В Индии мало водопроводов, и в водах реки Ганг ежедневно умывается несколько миллионов человек. Однако это приводит к эпидемиям значительно реже, чем можно было ожидать. Вода реки Ганг не портится даже в открытых сосудах при 40-градусной жаре. Почему?  ",,В водах много серебра,Местные чистят ее,В водах много золота,Рыбы и водоросли чистят ее
Какие два клана враждовали между собой в пьесе Шекспира «Ромео и Джульетта»?,,Монтекки и Капулетти,Моррисон и Колкахун,Колкахун и Макбин,Шуйские и Бельские
В какой стране проходил Чемпионат мира по футболу в 2018 году?,,Россия,США,Япония,КНДР
Откуда берут начало Олимпийские игры? ,,Древняя Греция,Древний Рим,Средние века,Древние египтяне
"Самая короткая река в мире протекает в США и имеет длину 134 метра, а её название начинается на букву «Д». Как называется эта река?",,Ди,Дон,Джефферсон,Дрейк
"В Азии он белый, в Бразилии – пурпурный, в Мексике – жёлтый, а в Европе – чёрный. Что это? ",,Траур,Флаг,Национальный цвет,Цвет глаз
"Незадолго до Первой мировой войны принца Монако герцога Альберта I, владельца казино, заинтересовала таинственная красавица – княжна София. Развился бурный роман, который завершился похищением драгоценностей из сейфа герцога. Раздосадованный Альберт I предпринял кардинальные меры по поимке преступницы, которые осложняют жизнь и другим преступникам до настоящего времени. Что же он придумал? ",,Интерпол,Европол,Мус,ООН
Какую английскую королеву называют «бабушкой Европы»?,,Виктория II,Мария I Кровавая,Елизавета I,Мария II
Какой город стал столицей Древнерусского государства в 882 году? ,,Киев,Москва,Новгород,Минск
Что сказала Валентина Терешкова матери перед полётом в космос?,,Идет прыгать с парашютом,Идет к подругам,Идет пить чай с любимым,Отправляется в командировку
Какой русский писатель любил коллекционировать бабочек? ,,В. В. Набоков,П. М Третьяков,Г. А. Брокар,С. И. Щукин
Когда в США отмечают день сурка? ,date,02.фев,16.июн,25.сен,30.апр
Национальный цветок Японии – это,,Сакура,Амариллис,Роза белая,Гвоздика
Сколько дней в високосном году? ,number,366,,,
Что противоположно материи? ,,Антивещество,Естество,Тело,Субстанция
"Как зовут человека, запустившего eBay в 1995 году? ",,Пьер Омидьяр,Джефф Безос,Илон Маск,Alibaba Group
Сколько спутников у Марса? ,number,2,,,
